Date,Days_of_the_week,App,Minutes,Category
9/1,Friday,TIKTOK,23,Social Media
9/1,Friday,YOUTUBE,82,Entertainment
9/1,Friday,MESSAGES,15,Other
9/1,Friday,INSTAGRAM,31,Social Media
9/2,Saturday,MAPS,19,Travel
9/2,Saturday,TIKTOK,47,Social Media
9/2,Saturday,MESSAGES,30,Other
9/2,Saturday,LIFE360,6,Other
9/2,Saturday,YOUTUBE,78,Entertainment
9/2,Saturday,SPOTIFY,76,Entertainment
9/3,Sunday,MESSAGES,9,Other
9/3,Sunday,INSTAGRAM,25,Social Media
9/3,Sunday,SAFARI,19,Other
9/3,Sunday,SPOTIFY,52,Entertainment
9/3,Sunday,TIKTOK,58,Social Media
9/4,Monday,SPOTIFY,33,Entertainment
9/4,Monday,YOUTUBE,24,Entertainment
9/4,Monday,MESSAGES,15,Other
9/5,Tuesday,TIKTOK,55,Social Media
9/5,Tuesday,PHOTO,30,Other
9/5,Tuesday,MESSAGES,20,Other
9/5,Tuesday,INSTAGRAM,11,Social Media
9/5,Tuesday,SPOTIFY,6,Entertainment
9/6,Wednesday,SPOTIFY,63,Entertainment
9/6,Wednesday,TIKTOK,12,Social Media
9/6,Wednesday,MESSAGES,34,Other
9/6,Wednesday,LIFE360,2,Travel
9/7,Thursday,TIKTOK,52,Social Media
9/7,Thursday,INSTAGRAM,41,Social Media
9/7,Thursday,MESSAGES,23,Other
9/7,Thursday,SPOTIFY,13,Entertainment
9/7,Thursday,SAFARI,11,Other